master_individual_id,swid,customer_id,email_address,marketing_effort_key,template_key,title,first_name,middle_initial,last_name,gender,birthday,geography_key,age,facebook_connect_flg,employee_flg,registration_date,registration_affiliate_name,marketing_effort_code_key,registration_flg,affluence,affluent_suburbia,numzip,tenure,postal_code,country,state_province,state_abbreviation,city,dma_code,dma_name,msa_name,age_range,ethnic_code,ethnic_group,ethnic_group_cd,household_income,aerobic_exercise_ind,assimilation_cd,cable_tv_ind,child_age_0to2_present,child_age_3to5_present,child_age_6to10_present,child_age_11to15_present,child_age_16to17_present,card_holder,gas_department_retail_card_holder,travel_entertainment_card_holder,premium_card_holder,dwelling_type_cd,first_individual_age_range_cd,first_individual_education_cd,first_individual_gender_cd,first_individual_occ_cd,home_assessed_value_num,home_equity_available_cd,home_market_value_cd,home_owner_ind,own_rent,household_size_cd,international_travel_ind,investing_grouping_ind,length_of_residence_cd,likely_investors_ind,marital_status,net_worth_cd,number_of_adults,number_of_children,personal_investments_ind,children_present,running_exercise_ind,satellite_dish_tv_ind,second_individual_age_range_cd,second_individual_education_cd,second_individual_gender_cd,stocks_bonds_investment_ind,vacation_travel_rv_ind,vacation_travel_us_ind
DOGiJOx,Neola Schneider,807,mpohla@google.ca,4.28,6.18,Nunavut,Ida,Neola Schneider,Neola Schneider,Female,08-09-18,4.28,6.18,Nunavut,DOGiJOx,,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,6.18,Nunavut,DOGiJOx,807,mpohla@google.ca,4.28,F,FYju05,QUvo85,YUfu91
bHITdQl,Neola Schneider,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,Nannie,Neola Schneider,Neola Schneider,Female,7/26/2018,3.95,2,Nunavut,bHITdQl,,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,2,Nunavut,bHITdQl,807,cmacellenb@independent.co.uk,3.95,F,DRsk12,CLkw94,BGdf42
ojksgpx,Carlos Daly,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,Celia,Carlos Daly,Carlos Daly,Male,12/29/2017,21.78,5.94,Nunavut,ojksgpx,,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,5.94,Nunavut,ojksgpx,868,jprestagec@unblog.fr,21.78,F,BCdq23,RKvg21,HWle06
gCmjeMe,Carlos Daly,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,Calvin,Carlos Daly,Carlos Daly,Female,2/15/2018,47.98,3.61,Nunavut,gCmjeMe,,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,3.61,Nunavut,gCmjeMe,868,ehalsalld@jalbum.net,47.98,M,VOkc66,ZMat53,BTdl29
mPDazvW,Claudia Miner,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,Clarence,Claudia Miner,Claudia Miner,Male,12/20/2017,5.28,2.99,Nunavut,mPDazvW,,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,2.99,Nunavut,mPDazvW,933,swalklotte@miibeian.gov.cn,5.28,M,XGiq57,OJvq85,ZAgk26
iNIEmHF,Neola Schneider,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,Hulda,Neola Schneider,Neola Schneider,Female,10/27/2017,39.89,3.04,Nunavut,iNIEmHF,,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,3.04,Nunavut,iNIEmHF,995,fkaysorf@linkedin.com,39.89,F,FNtq81,KOfb94,LAwh81
GIjzXwM,Allen Rosenblatt,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,Cameron,Allen Rosenblatt,Allen Rosenblatt,Female,7/29/2018,15.74,1.39,Nunavut,GIjzXwM,,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,1.39,Nunavut,GIjzXwM,998,jhunnicotg@gnu.org,15.74,M,FTnf75,VHxr11,KUef82
ZmXWxFI,Sylvia Foulston,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,Dean,Sylvia Foulston,Sylvia Foulston,Male,9/25/2017,100.98,26.22,Nunavut,ZmXWxFI,,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,26.22,Nunavut,ZmXWxFI,1154,rcaberash@yellowbook.com,100.98,F,VJro28,HMoy42,HGzw49
mPxveDt,Sylvia Foulston,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,Ronnie,Sylvia Foulston,Sylvia Foulston,Female,4/14/2018,71.37,69,Nunavut,mPxveDt,,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,69,Nunavut,mPxveDt,1154,dhazelbyi@meetup.com,71.37,F,ZSty12,UHio98,AThd98
vrHbhdM,Jim Radford,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,Verna,Jim Radford,Jim Radford,Male,12-02-17,65.99,5.26,Nunavut,vrHbhdM,,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,5.26,Nunavut,vrHbhdM,1344,gmaudj@ezinearticles.com,65.99,M,MOfi53,XAjx25,UAju02
IiDCjPh,Jim Radford,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,Caroline,Jim Radford,Jim Radford,Male,12-06-17,155.99,8.99,Nunavut,IiDCjPh,,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,8.99,Nunavut,IiDCjPh,1344,svinsenk@cnbc.com,155.99,M,KCxk26,NExl39,TBzh57
tdUZxVr,Carlos Soltero,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,Pauline,Carlos Soltero,Carlos Soltero,Female,12/16/2017,3.69,0.5,Nunavut,tdUZxVr,,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,0.5,Nunavut,tdUZxVr,1412,slongmatel@webmd.com,3.69,F,ARke13,TIpq27,MFkm74
CthpZAY,Carlos Soltero,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,Mathilda,Carlos Soltero,Carlos Soltero,Female,6/15/2018,4.71,0.7,Nunavut,CthpZAY,,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,0.7,Nunavut,CthpZAY,1412,dbannisterm@amazon.de,4.71,F,AWna29,ZQha06,KNhy40
gDtXQoT,Carl Ludwig,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,Nathan,Carl Ludwig,Carl Ludwig,Female,05-12-18,15.99,13.18,Nunavut,gDtXQoT,,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,13.18,Nunavut,gDtXQoT,1539,dskitteraln@dropbox.com,15.99,F,XPkp30,ZJln19,VLpk38
tXaZeRa,Carl Ludwig,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,Max,Carl Ludwig,Carl Ludwig,Male,8/17/2017,4.89,4.93,Nunavut,tXaZeRa,,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,4.93,Nunavut,tXaZeRa,1539,dandricko@dailymail.co.uk,4.89,M,XNaz19,URsb59,BEqn39
BUEAyof,Don Miller,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,Joel,Don Miller,Don Miller,Male,9/23/2017,2.88,0.7,Nunavut,BUEAyof,,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,0.7,Nunavut,BUEAyof,1540,wlawleep@smh.com.au,2.88,F,HLmh64,BKao81,SZnv19
YGcYUlZ,Annie Cyprus,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,Belle,Annie Cyprus,Annie Cyprus,Male,1/31/2018,2.84,0.93,Nunavut,YGcYUlZ,,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,0.93,Nunavut,YGcYUlZ,1702,ityremanq@irs.gov,2.84,M,VKvp25,FQfd60,KBle81
